,renewables_electricity,renewables_consumption
1090,3.7289999999999996,9.725
1091,5.4239999999999995,14.057
1092,5.256,13.532
1093,5.627999999999999,14.397
1094,6.392,16.254
1095,7.8610000000000015,19.88
1096,7.513,18.902
1097,8.879,22.191999999999997
1098,10.195,25.337
1099,11.209000000000001,28.465
1100,0.031,0.086
1101,0.02,0.055
1102,0.032,0.08800000000000001
1103,0.043,0.11699999999999999
1104,0.039,0.106
1105,0.039,0.105
1106,0.025,0.067
1107,0.024,0.064
1108,0.032,0.084
1109,0.099,0.26
1110,0.16,0.44299999999999995
1111,0.281,0.78
1112,0.461,1.247
1113,0.607,1.4609999999999999
1114,0.9570000000000001,2.344
1115,1.317,3.1860000000000004
1116,1.761,4.282
1117,1.729,4.227
1118,1.8090000000000002,4.379
1119,2.832,7.2
1120,50.879,141.333
1121,54.348,149.984
1122,48.316,132.47899999999998
1123,46.865,127.68
1124,53.872,148.583
1125,48.44,132.22799999999998
1126,50.63399999999999,137.523
1127,47.715,128.72
1128,58.163999999999994,161.55200000000005
1129,69.25399999999999,194.62
1130,76.96300000000002,216.595
1131,82.96,230.71400000000003
1132,92.221,255.088
1133,112.001,301.493
1134,120.67,319.6670000000001
1135,108.89399999999999,287.377
1136,108.01100000000001,282.481
1137,103.88600000000001,270.806
1138,114.402,296.093
1139,117.079,288.399
1140,0.217,
1141,0.14400000000000002,
1142,0.124,
1143,0.147,
1144,0.201,
1145,0.23600000000000002,
1146,0.256,
1147,0.247,
1148,0.258,
1149,0.223,
1150,0.223,
1151,0.26899999999999996,
1152,0.284,
1153,0.26,
1154,0.287,
1155,0.28300000000000003,
1156,0.345,
1157,0.51,
1158,0.544,
1159,0.561,
1160,125.398,280.645
1161,122.919,271.33099999999996
1162,122.74600000000001,270.48400000000004
1163,137.851,305.495
1164,137.534,304.355
1165,124.98299999999999,276.486
1166,137.313,305.962
1167,125.323,270.301
1168,121.83,269.245
1169,122.695,255.17
1170,142.58700000000005,308.2870000000001
1171,146.116,294.106
1172,140.57399999999998,286.757
1173,152.118,308.638
1174,166.545,340.76
1175,183.412,389.61699999999996
1176,188.028,357.42900000000014
1177,208.35,402.741
1178,216.343,441.82800000000003
1179,225.53799999999998,483.082
1180,0.042,
1181,0.046,
1182,0.06,
1183,0.05,
1184,0.061,
1185,0.064,
1186,0.059000000000000004,
1187,0.07200000000000001,
1188,0.073,
1189,0.068,
1190,0.07200000000000001,
1191,0.065,
1192,0.069,
1193,0.061,
1194,0.063,
1195,0.179,
1196,0.858,
1197,1.3980000000000001,
1198,2.188,
1199,2.717,
1200,7.456,20.92
1201,8.0,22.302
1202,8.801,24.375
1203,8.539,23.496
1204,7.976,21.809
1205,7.777,21.131999999999998
1206,7.691,20.764
1207,8.09,21.705
1208,7.386,19.692
1209,6.811,18.047
1210,7.943,20.916
1211,7.805,20.43
1212,7.564,19.679000000000002
1213,7.6610000000000005,19.805999999999997
1214,8.291,21.065
1215,9.429,23.9
1216,11.92,30.142
1217,11.6,29.112
1218,11.137,27.104
1219,10.629000000000001,26.69
1220,2.057,
1221,3.175,
1222,3.79,
1223,4.33,
1224,4.191,
1225,4.316,
1226,4.574,
1227,4.8,
1228,4.137,
1229,3.734,
1230,5.081,
1231,5.12,
1232,6.007999999999999,
1233,5.915,
1234,6.404,
1235,8.488999999999999,
1236,8.011000000000001,
1237,8.175,
1238,9.652000000000001,
1239,10.192,
1240,0.0,0.0
1241,0.0,0.0
1242,0.0,0.0
1243,0.0,0.0
1244,0.0,0.0
1245,0.0,0.0
1246,0.0,0.0
1247,0.0,0.0
1248,0.0,0.0
1249,0.0,0.0
1250,0.0,0.0
1251,0.0,0.0
1252,0.0,0.0
1253,0.004,0.0
1254,0.006999999999999999,0.008
1255,0.009000000000000001,0.013000000000000001
1256,0.053,0.12300000000000001
1257,0.067,0.166
1258,0.084,0.207
1259,0.158,0.396
1260,13.546,
1261,12.306,
1262,10.679,
1263,13.380999999999998,
1264,13.953,
1265,12.66,
1266,12.347000000000001,
1267,12.609000000000002,
1268,10.023,
1269,10.115,
1270,10.997,
1271,13.998,
1272,14.037,
1273,12.995999999999999,
1274,13.165,
1275,10.989,
1276,11.379000000000001,
1277,14.061,
1278,14.175,
1279,13.706,
1280,2.824,7.8439999999999985
1281,2.839,7.835
1282,2.485,6.814
1283,2.339,6.37
1284,3.196,8.652000000000001
1285,3.4139999999999997,9.186
1286,2.787,7.45
1287,2.8280000000000003,7.5120000000000005
1288,3.213,8.479
1289,3.555,9.321
1290,3.635,9.478
1291,3.076,7.977
1292,4.109,10.550999999999998
1293,3.533,9.046
1294,2.802,7.035
1295,2.7769999999999997,7.0429999999999975
1296,3.4819999999999998,8.757
1297,5.4620000000000015,13.654000000000002
1298,3.4989999999999997,8.695
