,fossil_fuel_consumption,co2
1221,,9.237
1222,,7.819
1223,,6.587000000000001
1224,,7.439
1225,,8.338
1226,,9.336
1227,,9.541
1228,,9.911
1229,,11.966
1230,,11.745
1231,,12.928
1232,,11.988
1233,,12.77
1234,,13.773
1235,,16.301
1236,,17.156
1237,,16.322
1238,,18.016
1239,,18.347
1240,229.627,53.385
1241,233.206,57.485
1242,237.532,57.981
1243,279.243,59.624
1244,312.831,63.109
1245,346.348,71.166
1246,327.262,73.39
1247,317.934,74.875
1248,345.839,82.29700000000001
1249,361.27,86.955
1250,391.745,89.272
1251,393.086,86.26299999999999
1252,436.736,100.074
1253,452.734,81.704
1254,415.215,75.482
1255,450.585,91.349
1256,468.062,100.859
1257,438.028,95.145
1258,436.439,95.575
1259,454.495,96.651
1260,,4.602
1261,,3.861
1262,,4.921
1263,,5.382000000000001
1264,,5.808
1265,,5.515
1266,,5.419
1267,,6.519
1268,,7.547000000000001
1269,,6.737
1270,,6.314
1271,,7.553999999999999
1272,,9.998
1273,,9.658
1274,,10.095
1275,,10.279000000000002
1276,,9.646
1277,,9.348
1278,,11.698
1279,,11.018
1280,29.404,7.081
1281,32.329,7.496
1282,33.773,7.52
1283,33.738,7.726
1284,36.342,7.731
1285,37.144,7.811
1286,36.571,8.31
1287,37.901,8.637
1288,37.181,8.198
1289,33.844,7.456
1290,39.246,8.554
1291,35.509,7.811
1292,34.314,7.519
1293,34.148,7.367999999999999
1294,32.653,7.172000000000001
1295,33.563,7.262
1296,34.591,7.21
1297,33.796,7.215
1298,34.098,7.859
1299,35.677,7.648
1300,,15.466
1301,,16.407
1302,,16.244
1303,,18.529
1304,,17.208
1305,,16.65
1306,,14.792
1307,,13.746
1308,,17.418
1309,,20.958
1310,,19.997
1311,,20.264
1312,,22.332
1313,,22.163
1314,,23.992
1315,,25.735
1316,,26.501
1317,,27.977
1318,,26.551
1319,,26.658
1320,,47.515
1321,,48.463
1322,,48.18600000000001
1323,,49.474
1324,,50.629
1325,,56.989
1326,,53.256
1327,,49.977
1328,,53.591
1329,,53.121
1330,,60.653
1331,,49.212
1332,,51.647
1333,,41.914
1334,,71.39
1335,,58.184
1336,,53.485
1337,,54.399
1338,,53.362
