,fossil_prod_change_twh,solar_electricity,wind_electricity
1758,-3.5039999999999996,1.02,3.157
1759,7.167000000000002,1.032,3.609
1774,0.0,0.001,0.11599999999999999
1775,0.0,0.016,0.42
1776,0.0,0.071,0.625
1777,0.0,0.156,0.49
1778,0.0,0.233,0.588
1779,0.0,0.295,0.68
1812,3.583,0.06,0.001
1813,9.628,0.2,0.001
1814,9.916,0.2,0.26
1815,-16.386,0.23,0.595
1816,5.6450000000000005,0.24100000000000002,1.063
1817,-11.759,0.287,1.073
1818,5.865,0.75,1.5019999999999998
1819,3.1479999999999997,0.767,1.655
1825,0.0,0.002,0.017
1826,0.0,0.001,0.053
1827,0.0,0.001,0.057999999999999996
1828,0.0,0.001,0.061
1829,0.0,0.001,0.064
1830,0.0,0.001,0.062
1831,0.0,0.001,0.09
1832,0.0,0.001,0.075
1833,0.0,0.001,0.066
1834,0.0,0.017,0.15
1835,0.0,0.139,0.75
1836,0.0,1.097,0.975
1837,0.0,1.2009999999999998,1.094
1838,0.0,1.249,1.153
1839,0.0,1.246,1.042
1852,25.089,0.001,4.747
1853,-8.651,0.001,6.004
1854,-37.489,0.006999999999999999,7.676
1855,-12.831,0.057,10.857999999999999
1856,-11.927,0.124,12.588
1857,-27.639,0.165,14.909
1858,-29.767,0.3,12.799000000000001
1859,-30.217,0.725,15.039000000000001
1860,0.0,0.001,0.168
1861,0.0,0.001,0.256
1862,0.0,0.002,0.36200000000000004
1863,0.0,0.003,0.496
1864,0.0,0.003,0.816
1865,0.0,0.003,1.7730000000000001
1866,0.0,0.005,2.925
1867,0.0,0.024,4.037
1868,0.0,0.040999999999999995,5.7570000000000014
1869,0.0,0.16,7.577000000000001
1870,0.0,0.21100000000000002,9.182
1871,0.0,0.28,9.162
1872,0.0,0.39299999999999996,10.26
1873,0.0,0.479,12.015
1874,0.0,0.627,12.110999999999999
1875,0.0,0.7959999999999999,11.607999999999999
1876,0.0,0.871,12.474
1877,0.0,0.992,12.248
1878,0.0,1.006,12.617
1879,0.0,1.2409999999999999,13.69
1911,8.628000000000004,0.001,1.3869999999999998
1912,-6.276999999999999,0.008,2.64
1913,-18.880000000000003,0.42,4.52
1914,-1.407,1.6159999999999999,6.2010000000000005
1915,2.717,1.982,7.063
1916,-19.521,1.82,6.59
1917,10.342,1.8559999999999999,7.407
1918,-5.449,1.771,6.322
1919,-6.9510000000000005,1.796,6.768
1937,-278.729,0.155,0.005
1938,231.672,0.155,0.005
1939,-219.724,0.155,0.005
1973,4.6610000000000005,0.002,0.001
1974,-23.247,0.006,0.001
1975,17.653,0.011000000000000001,0.001
1976,0.217,0.012,0.026000000000000002
1977,0.006999999999999999,0.013000000000000001,0.048
1978,-7.165,0.013000000000000001,0.15
