,fossil_production,gdp
809,139.72299999999998,17086170112.0
810,135.19799999999998,17719605248.0
811,136.987,25867530240.0
812,128.564,23581319168.0
813,123.72399999999999,24201480192.0
814,122.275,23510669312.0
815,123.802,24407074816.0
816,128.279,24926826496.0
817,121.788,
818,112.15299999999999,
819,126.38799999999999,
820,1.9499999999999997,16507205632.0
821,1.915,17331390464.0
822,1.102,18439915520.0
823,2.0180000000000002,20863416320.0
824,1.511,22652420096.0
825,1.44,25088212992.0
826,0.78,29462730752.0
827,0.7979999999999999,33759279104.0
828,0.762,35940102144.0
829,1.498,38162817024.0
830,1.214,40677888000.0
831,1.3719999999999999,44139565056.0
832,1.943,45705986048.0
833,2.7460000000000004,47108521984.0
834,2.155,48831692800.0
835,2.131,50245545984.0
836,1.79,51618291712.0
837,0.0,
838,0.0,
839,0.0,
840,882.742,2790000000000.0
841,855.863,2840000000000.0
842,857.3299999999999,2860000000000.0
843,857.3580000000001,2880000000000.0
844,850.6800000000001,2960000000000.0
845,823.3580000000001,3070000000000.0
846,783.8760000000002,3190000000000.0
847,782.533,3370000000000.0
848,718.967,3390000000000.0
849,667.265,3230000000000.0
850,645.035,3370000000000.0
851,648.1380000000001,3520000000000.0
852,650.21,3530000000000.0
853,610.798,3650000000000.0
854,594.1039999999998,3780000000000.0
855,573.154,3850000000000.0
856,530.203,3920000000000.0
857,522.207,
858,494.826,
859,404.76399999999995,
860,4.461,43972993024.0
861,4.449,41181855744.0
862,4.449,42958938112.0
863,4.449,44519993344.0
864,4.461,49089458176.0
865,3.813,50866245632.0
866,3.813,49831284736.0
867,3.813,53204865024.0
868,3.824,59184271360.0
869,3.813,58044080128.0
870,4.569,62670295040.0
871,48.626999999999995,78460420096.0
872,49.935,90200662016.0
873,62.228,90805936128.0
874,67.286,92611821568.0
875,72.80799999999999,96227016704.0
876,69.582,100000000000.0
877,0.0,
878,0.0,
879,0.0,
880,95.617,248000000000.0
881,97.59899999999999,262000000000.0
882,99.81,279000000000.0
883,95.087,278000000000.0
884,99.399,289000000000.0
885,99.29700000000001,282000000000.0
886,95.021,303000000000.0
887,97.565,311000000000.0
888,94.546,322000000000.0
889,95.086,320000000000.0
890,85.07799999999997,300000000000.0
891,87.28200000000002,269000000000.0
892,93.56,262000000000.0
893,78.25,270000000000.0
894,74.248,264000000000.0
895,66.003,264000000000.0
896,46.201,264000000000.0
897,53.117,
898,49.716,
899,37.259,
900,0.0,52913479680.0
901,0.0,56052596736.0
902,0.0,58386518016.0
903,0.0,60775858176.0
904,0.0,63406710784.0
905,0.0,66336436224.0
906,0.0,70370746368.0
907,0.0,75432050688.0
908,0.0,78681153536.0
909,0.0,81414561792.0
910,0.0,85682970624.0
911,0.0,91936251904.0
912,0.0,93666304000.0
913,0.0,96147685376.0
914,0.0,101000000000.0
915,0.0,105000000000.0
916,0.0,108000000000.0
917,0.0,
918,0.0,
919,0.0,
920,0.0,
921,0.0,
922,0.0,
923,0.0,
924,0.0,
925,0.0,
926,0.0,
927,0.0,
928,0.0,
929,0.0,
930,0.0,
931,0.0,
932,0.0,
933,0.0,
934,0.0,
935,0.0,
936,0.0,
937,0.0,
938,0.0,
939,0.0,
940,0.0,16011585536.0
941,0.0,15730379776.0
942,0.0,15812939776.0
943,0.0,15904979968.0
944,0.0,15227899904.0
945,0.0,15956420608.0
946,0.0,15842304000.0
947,0.0,16349544448.0
948,0.0,15783279616.0
949,0.0,16176751616.0
950,0.0,15705132032.0
951,0.0,15936159744.0
952,0.0,15668799488.0
953,0.0,16252235776.0
954,0.0,16627784704.0
955,0.0,16908846080.0
956,0.0,17155095552.0
957,0.0,
958,0.0,
959,0.0,
960,0.0,22542655488.0
961,0.0,22942404608.0
962,0.0,24185421824.0
963,0.0,25499191296.0
964,0.0,27096795136.0
965,0.0,29656739840.0
966,0.0,30802739200.0
967,0.0,32927596544.0
968,0.0,31241320448.0
969,0.0,31712032768.0
970,0.0,33465921536.0
971,0.0,36004622336.0
972,0.0,36656144384.0
973,0.0,35591421952.0
974,0.0,36734926848.0
975,0.0,38066946048.0
976,0.0,39440453632.0
977,0.0,
978,0.0,
979,0.0,
980,38.562,151000000000.0
981,35.135999999999996,162000000000.0
982,34.421,172000000000.0
983,35.545,173000000000.0
984,27.068,172000000000.0
985,20.331,178000000000.0
986,20.429000000000002,184000000000.0
987,20.618000000000002,188000000000.0
988,19.695999999999998,195000000000.0
989,18.097,198000000000.0
990,18.53,204000000000.0
991,19.137,208000000000.0
992,18.683,208000000000.0
993,18.744,216000000000.0
994,18.468,225000000000.0
995,17.658,232000000000.0
996,17.009,236000000000.0
997,14.923,
998,14.785,
999,17.455,
1000,0.0,10012029952.0
1001,0.0,10430144512.0
1002,0.0,10524290048.0
1003,0.0,10166153216.0
1004,0.0,10772171776.0
1005,0.0,10844063744.0
1006,0.0,10504720384.0
1007,0.0,11295209472.0
1008,0.0,12663198720.0
1009,0.0,12433164288.0
1010,0.0,11611769856.0
1011,0.0,11720059904.0
1012,0.0,12108440576.0
1013,0.0,12528432128.0
1014,0.0,12878240768.0
1015,0.0,13429331968.0
1016,0.0,14398300160.0
1017,0.0,
1018,0.0,
1019,0.0,
1020,2421.502,2020000000000.0
1021,2444.87,2140000000000.0
1022,2548.016,2270000000000.0
1023,2649.898,2490000000000.0
1024,2814.241,2690000000000.0
1025,2897.8020000000006,3050000000000.0
1026,3004.078,3390000000000.0
1027,3158.077,3750000000000.0
1028,3378.093,4290000000000.0
1029,3664.1630000000005,4560000000000.0
1030,3888.1809999999996,5110000000000.0
1031,3842.584,5680000000000.0
1032,3832.9289999999996,6000000000000.0
1033,3777.882,6170000000000.0
1034,3910.7709999999997,6570000000000.0
1035,4027.5869999999995,7070000000000.0
1036,4034.689000000001,7560000000000.0
1037,4076.216,
1038,4289.527,
1039,4240.576,
1040,2068.607,734000000000.0
1041,2112.042,752000000000.0
1042,2199.3450000000003,766000000000.0
1043,2244.078,771000000000.0
1044,2308.969,840000000000.0
1045,2433.016,921000000000.0
1046,2665.017,1010000000000.0
1047,2767.9629999999997,1120000000000.0
1048,2968.661,1360000000000.0
